house_id,dwelling,dwelling_grade,household_m2,size_grade,bedrooms,years,old,heating_source,area_code,occupants,children,teenagers,adults,elders,ainc,adec,agauge,fulltimers,parttimers,grads,postgrads,education_index,income,recycling,energy_class,thermostats,water_heater,smart_plugs,awareness,start,end,days,kwhs,kwh/day,kwh/day/m2,hdd,cdd
22,Appartment,0.0,70,0.2,2.0,6 - 15,0.33,No,54453,4,2,0,2,0,2.8,3.5,3.0,1,0,0,0,0.8333333333,"0 - 10,000€",Sometimes,Often or Always,Often or Always,No,Often or Always,Sometimes,2021-12-03,2022-03-04,91,1021.0,11.21978022,0.1602825746,682.981,0.0
23,Appartment,0.0,70,0.2,2.0,6 - 15,0.33,No,54453,4,2,0,2,0,2.8,3.5,3.0,1,0,0,0,0.8333333333,"0 - 10,000€",Sometimes,Often or Always,Often or Always,No,Often or Always,Sometimes,2021-06-02,2021-10-08,128,1021.0,7.9765625,0.1139508929,1.125,538.271
24,Appartment,0.0,48,0.0,1.0,30+,1.0,Yes,54453,3,0,1,1,0,1.65,1.65,1.75,1,0,0,0,0.8333333333,"10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Rarely,2022-01-14,2022-02-23,40,482.0,12.05,0.2510416667,312.712,0.0
25,Appartment,0.0,48,0.0,1.0,30+,1.0,Yes,54453,3,0,1,1,0,1.65,1.65,1.75,1,0,0,0,0.8333333333,"10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Rarely,2021-08-09,2021-10-09,61,582.0,9.540983607,0.1987704918,1.063,178.933
26,Appartment,0.0,50,0.0,1.0,0 - 5,0.0,Yes,54453,4,1,1,2,0,3.05,3.4,3.25,1,1,0,0,0.8333333333,"10,001€ - 20,000€",Sometimes,Often or Always,Often or Always,No,Rarely,Sometimes,2021-10-06,2022-02-03,120,1719.0,14.325,0.2865,614.137,0.0
27,Appartment,0.0,110,0.6,3.0,6 - 15,0.33,No,54454,4,2,0,2,0,2.8,3.5,3.0,1,0,1,0,0.8888888889,"20,001€ - 40,000€",Often or Always,Often or Always,Often or Always,Yes,Rarely,Rarely,2021-10-01,2022-01-31,122,2234.0,18.31147541,0.1664679583,598.774,0.188
28,Appartment,0.0,107,0.6,2.0,30+,1.0,Yes,54454,2,0,0,1,1,1.9,1.25,1.75,0,0,1,0,0.8888888889,"20,001€ - 40,000€",Rarely,Rarely,Often or Always,No,Rarely,Rarely,2021-10-08,2022-02-07,122,2747.0,22.51639344,0.2104335836,638.112,0.0
29,Appartment,0.0,87,0.4,2.0,0 - 5,0.0,Yes,54454,4,0,1,3,0,3.45,3.15,3.75,2,1,2,0,0.9074074074,"10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,Yes,Often or Always,Sometimes,2021-10-08,2022-02-12,127,1196.0,9.417322835,0.1082450901,669.646,0.0
29,Appartment,0.0,87,0.4,2.0,0 - 5,0.0,Yes,54454,4,0,1,3,0,3.45,3.15,3.75,2,1,2,0,0.9074074074,"10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,Yes,Often or Always,Sometimes,2021-06-08,2021-10-07,121,974.0,8.049586777,0.09252398594,1.008,532.196
30,Appartment,0.0,65,0.2,2.0,0 - 5,0.0,No,54622,2,0,0,2,0,1.8,1.5,2.0,1,0,1,0,0.8888888889,"0 - 10,000€",Rarely,Rarely,Often or Always,No,Rarely,Rarely,2021-09-29,2022-01-31,124,833.0,6.717741935,0.1033498759,598.774,0.188
31,Appartment,0.0,65,0.2,2.0,0 - 5,0.0,No,54622,2,0,0,2,0,1.8,1.5,2.0,1,0,1,0,0.8888888889,"0 - 10,000€",Rarely,Rarely,Often or Always,No,Rarely,Rarely,2020-06-26,2020-08-13,48,204.0,4.25,0.06538461538,0.0,226.296
32,Appartment,0.0,100,0.4,2.0,6 - 15,0.33,Yes,54634,4,1,1,2,0,3.05,3.4,3.25,1,1,0,0,0.8333333333,"άνω των 60,0001€",Often or Always,Often or Always,Often or Always,No,Sometimes,Rarely,2021-01-05,2021-05-05,120,4800.0,40.0,0.4,643.988,2.221
33,Semidetached,0.7,100,0.4,2.0,6 - 15,0.33,Yes,54634,3,0,0,3,0,2.7,2.25,3.0,2,0,0,0,0.8333333333,"20,001€ - 40,000€",Often or Always,Sometimes,Sometimes,Yes,Rarely,Rarely,2022-01-01,2022-01-31,30,350.0,11.66666667,0.1166666667,268.999,0.0
34,Semidetached,0.7,360,1.0,4.0,6 - 15,0.33,Yes,54634,4,0,1,3,0,3.45,3.15,3.75,2,0,2,2,0.9444444444,"10,001€ - 20,000€",Often or Always,Sometimes,Sometimes,Yes,Rarely,Rarely,2021-09-01,2021-09-30,29,400.0,13.79310345,0.03831417625,0.496,50.088
35,Appartment,0.0,62,0.2,2.0,0 - 5,0.0,No,54635,2,0,0,2,0,1.8,1.5,2.0,0,0,0,0,0.8333333333,"0 - 10,000€",Rarely,Rarely,Rarely,No,Rarely,Rarely,2021-09-07,2022-01-06,121,524.0,4.330578512,0.06984804052,382.179,35.262
35,Appartment,0.0,62,0.2,2.0,0 - 5,0.0,No,54635,2,0,0,2,0,1.8,1.5,2.0,0,0,0,0,0.8333333333,"0 - 10,000€",Rarely,Rarely,Rarely,No,Rarely,Rarely,2021-01-08,2021-05-06,118,558.0,4.728813559,0.07627118644,632.363,3.488
36,Appartment,0.0,110,0.6,2.0,6 - 15,0.33,Yes,54635,2,0,0,2,0,1.8,1.5,2.0,2,0,1,1,0.9166666667,"40,000€ - 60,000€",Rarely,Often or Always,Often or Always,Yes,Sometimes,Rarely,2021-12-10,2022-02-10,62,960.0,15.48387097,0.1407624633,501.894,0.0
37,Appartment,0.0,110,0.6,2.0,6 - 15,0.33,Yes,54635,2,0,0,2,0,1.8,1.5,2.0,2,0,1,1,0.9166666667,"40,000€ - 60,000€",Rarely,Often or Always,Often or Always,Yes,Sometimes,Rarely,2021-07-10,2021-09-10,62,1200.0,19.35483871,0.1759530792,0.0,358.738
38,Appartment,0.0,58,0.0,1.0,6 - 15,0.33,No,54636,2,0,0,2,0,1.8,1.5,2.0,2,0,2,2,1.0,"20,001€ - 40,000€",Sometimes,Sometimes,Often or Always,No,Rarely,Sometimes,2021-10-19,2022-02-17,121,473.0,3.909090909,0.06739811912,755.375,0.0
